case,time,v(in),v(out),v(base),v(vcc),i(vcc),i(rb),ic(q1),ib(q1),i(vin),i(rl)
3,0.0009172621439989731,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009174621439989731,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009176621439989731,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009178621439989731,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009180621439989731,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009182621439989731,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009184621439989731,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009186621439989731,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009188621439989731,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009190621439989731,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009192621439989731,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009194621439989731,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009196621439989731,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009198621439989731,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009200621439989731,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009202621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009204621439989732,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009206621439989732,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009208621439989732,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009210621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
